postal_code,lat,lon
42103,51.2534763,7.139068
42105,51.2611954,7.1392065
42109,51.2764919,7.148276
42117,51.2422847,7.1231146
42281,51.2859753,7.1947824
42283,51.2718705,7.1830025
42369,51.2249018,7.2003267
42477,51.2100192,7.3649391
42489,51.2901281,7.0452178
42549,51.3405027,7.0244495
42555,51.3542162,7.1208502
42579,51.3274456,6.9718844
42653,51.2006067,7.0807135
42697,51.1519631,6.976056
42699,51.1472454,7.0160744
42781,51.2079197,7.0163671
42853,51.1847473,7.1767218
42859,51.1653244,7.2131181
42899,51.2064833,7.2349429
42929,51.1129598,7.2205209
43129,,
44137,51.5081641,7.4479965
44145,51.5328942,7.484637
44225,51.478622,7.4505351
44263,51.4865748,7.4974155
44269,51.4892104,7.5326335
44287,51.4890914,7.5624893
44309,51.5289204,7.5510695
44319,51.5383022,7.6017367
44379,51.5154343,7.3731614
44388,51.5035274,7.3348123
44534,51.631817,7.5104579
44536,51.6029224,7.4591319
44575,51.5464307,7.3053232
44577,51.608533,7.3325383
44623,51.5375132,7.2222002
44625,51.5318531,7.2005126
44649,51.5324801,7.1502582
44651,51.5135898,7.1672098
44787,51.480619,7.2200063
44789,51.4681782,7.2196341
44791,51.4900059,7.2484252
44866,51.4889878,7.1495467
44879,51.4287341,7.1538178
44892,51.4699577,7.3226092
45131,51.4288644,7.0027383
45136,51.4368472,7.0415421
45138,51.4480699,7.0407871
45141,51.4776586,7.0352304
45147,51.439,6.978438
45239,51.3817606,7.0061426
45257,51.386361,7.088177
45276,51.4483666,7.0766091
45329,51.5111547,7.0133375
45355,51.4740072,6.9522305
45468,51.426483,6.8870069
45525,51.3971842,7.1824959
45527,51.3741869,7.2085624
45529,51.3676018,7.173131
45657,51.6188947,7.1894942
45659,51.6149187,7.1686625
45661,51.5684944,7.192377
45699,51.5810207,7.1474104
45701,51.6110698,7.0946173
45711,51.6671727,7.3339834
45721,51.758119,7.1797588
45731,51.6248619,7.4074313
45768,51.6575564,7.0659333
45770,51.6634974,7.1776405
45879,51.5056543,7.0949446
45886,51.4980385,7.1197249
45891,51.5580748,7.0804562
45894,51.5803692,7.0544666
45899,51.538408,7.0304451
45964,51.5658713,6.966299
46045,51.4696173,6.8560281
46047,51.4803944,6.8801119
46117,51.500895,6.8961946
46145,51.5322357,6.8612816
46236,51.5251524,6.924736
46242,51.5259408,6.8999314
46244,51.5984773,6.9123203
46282,51.647311,6.9719833
46325,51.8533164,6.8293691
46397,51.8704977,6.6515339
46414,51.8370901,6.6964546
46419,51.8383802,6.4609608
46446,51.8554151,6.2334481
46483,51.6631065,6.6173889
46485,51.6645193,6.6693457
46509,51.6842624,6.4262592
46535,51.556134,6.7283198
47053,51.4207307,6.7508968
47055,51.4023339,6.7731657
47137,51.4714791,6.7669058
47166,51.4923578,6.7510441
47169,51.5142848,6.7623366
47178,51.5442378,6.7067191
47198,51.4513181,6.6993306
47228,51.4172098,6.6995226
47229,51.3888771,6.7057712
47249,51.3845665,6.7587352
47259,51.3572448,6.7090193
47441,51.4492874,6.618211
47475,51.5201082,6.5332054
47495,51.5644863,6.6135629
47533,51.7986928,6.1449935
47546,51.7574556,6.3074097
47551,51.7624802,6.1932936
47574,51.680688,6.1231731
47608,51.5212913,6.2996266
47623,51.5767252,6.2314273
47805,51.3176588,6.5635646
47807,51.3039001,6.5813409
47829,51.3672619,6.6406619
47839,51.372978,6.5085338
47906,51.3777527,6.4222413
48143,51.960444,7.6262442
48145,51.9659647,7.6536782
48147,51.9757834,7.6339141
48149,51.9638718,7.6026944
48151,51.939695,7.6078585
48153,51.9373558,7.630713
48157,51.9963103,7.6873433
48163,51.8913816,7.5748843
48165,51.8982648,7.650382
48231,51.9517845,8.0020876
48249,51.8521769,7.2638942
48282,52.1796266,7.4964534
48286,,
48291,51.9972475,7.8190016
48301,51.9228432,7.3497937
48317,51.8011531,7.7434268
48324,51.8545927,7.7859503
48431,52.275526,7.4263621
48455,52.3070329,7.1161824
48477,52.2888135,7.5952206
48527,52.4670041,7.046247
48559,,
48599,52.1889973,7.0287361
48653,51.9171483,7.1606437
48683,52.1012241,6.9597729
48691,52.0608068,6.7969941
49074,52.2760322,8.0520849
49076,52.2890227,7.9668926
49082,52.2467152,8.0611039
49088,52.2959078,8.0593971
49124,52.2038101,8.0742628
49179,52.377883,8.183689
49214,52.0985503,8.15536
49324,52.2136368,8.3464552
49356,52.610999,8.364817
49377,52.743725,8.2903362
49393,52.6612191,8.2289158
49401,52.5279348,8.232843
49434,52.5109212,8.0901585
49477,52.2793258,7.7006454
49525,52.1661593,7.8377796
49565,52.4199148,8.0118594
49577,52.5568329,7.8286054
49610,52.6770439,7.9773612
49624,52.7454722,7.776994
49661,52.8594861,8.030047
49716,52.6985078,7.2503852
49740,52.6799563,7.4647284
49751,52.8472618,7.5021651
49808,52.5305337,7.2975672
49811,52.5110581,7.3990527
49832,52.4659222,7.5071945
50126,50.9665811,6.6015766
50181,51.0144705,6.5569525
50226,50.9130083,6.7933839
50321,50.8181075,6.889561
50354,50.8742561,6.8497567
